"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139247";"6";"Routage dynamique (RIP, OSPF, etc.)";"TP : Configuration de RIP / OSPF dans un réseau multi-routeurs<div>TP : Vérification de la table de routage et des adjacences</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139248";"7";"Sécurité réseau de base";"TP : Sécurisation de l’accès au switch (mot de passe console, VTY, etc.)<div>TP : Désactivation des ports inutilisés</div><div>TP : Configuration du port security</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139249";"8";"Services réseau";"TP : Configuration de DHCP sur un routeur<div>TP : Configuration de NAT (static et PAT)</div><div>TP : Configuration de CDP, LLDP, Syslog, SNMP et NTP (basique)</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139250";"9";"WLAN";"TP : Configuration d’un point d’accès dans Packet Tracer<div>TP : Connexion d’un client à un réseau sans fil</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139251";"10";"Configuration des VPN IPsec et GRE";"TP : Configuration d’un tunnel GRE entre deux routeurs<div>TP : Configuration d’un tunnel IPsec site-à-site</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139252";"11";"Résolution de problèmes (troubleshooting)";"TP : Diagnostic d’une panne réseau<div>TP : Analyse des tables ARP, MAC et de routage</div><div>TP : Utilisation des outils Ping, Traceroute, etc.</div>"
"160";"Formation Certifiante CCNA CISCO 200-301 (examen inclus)";"139253";"12";"Validation";"<p>Examen de certification &#8211; Nom : CCNA &#8211; Code : 200-301 &#8211; Titre délivré : Cisco Certified Network Associate &#8211; Durée de l&rsquo;examen : 120 minutes + 30 minutes pour les non-anglophones &#8211; Nombre de questions : 100 &#8211; Seuil de réussite : 80-85%</p>"
"161";"Formation Développement sur Amazon Web Services (AWS) ";"130662";"0";"Introduction et développement autour du modèle de stockage des données";"Introduction sur AWS<br>Introduction au développement sur AWS.<br>Introduction à l’AWS Identity and Access Management<br>Introduction à l’atelier de développement<br>Développer des solutions de stockage avec Amazon S3"
"161";"Formation Développement sur Amazon Web Services (AWS) ";"130663";"1";"Bonnes pratiques pour le développement (Sécurité, Performance, Résilience, Compteurs, Déploiement)";"Mise en cache des informations pour favoriser l’évolutivité ou la scalabilité<br>Démarrer avec les containers<br>Développer des solutions sécurisées<br>Déployer des applications de bout en bout"
"161";"Formation Développement sur Amazon Web Services (AWS) ";"130664";"2";"Développement événementiel et modèle d’ingestion des données";"Développer des solutions NoSQL flexibles avec Amazon DynamoDB<br>Développer des solutions avec AWS Lambda<br>Développer des solutions avec Amazon API Gateway<br>Développer des solutions avec Amazon SQS et Amazon SNS<br>Développer des solutions de gestion d’événement avec AWS Step Functions"
"162";"Formation AWS Solutions Architect ";"130093";"0";"Jour 1";"<p>Evaluation des connaissances préalables<br />Présentation des services<br />Présentation des services applicatifs<br />Création d&rsquo;architecture dans le cloud applications Web Application des concepts : architecture de<br />Sécurité et conformité Elasticité, évolutivité et amorçage référence pour le traitement par lot<br />Amazon Virtual Private Cloud (VPC) Dimensionnement du stockage de Conception avec optimisation des coûts<br />Identité, autorisation et authentification</p>"
"162";"Formation AWS Solutions Architect ";"130094";"1";"Jour 2";"<p>Présentation des services destinés aux applications Web<br />Elasticité, évolutivité et amorçage<br />Dimensionnement du stockage de données<br />Application des concepts : architecture d&rsquo;une application Web</p>"
"162";"Formation AWS Solutions Architect ";"130095";"2";"Jour 3";"<p>Présentation des services applicatifs<br />Application des concepts : architecture de référence pour le traitement par lot<br />Conception avec optimisation des coûts<br />Reprise après sinistre et haute disponibilité<br />Migration d&rsquo;applications sur le cloud AWS</p>"
"163";"Formation Amazon Web Services (AWS) – Fondamentaux techniques";"130161";"0";"Services AWS de base";"<p>Amazon EC2 : augmenter ou diminuer vos capacités de calculs en quelques minutes<br />Amazon Virtual Private Cloud VPC : mise en service d&rsquo;une section du cloud AWS isolée de manière logique<br />Amazon S3 : services de stockage à travers des services Web<br />Amazon EBS : volumes de stockage permanent en mode bloc</p>"
"163";"Formation Amazon Web Services (AWS) – Fondamentaux techniques";"130162";"1";"AWS IAM (Identity and Access Management)";"<p>Contrôler de façon sécurisée l&rsquo;accès aux services et ressources AWS<br />Gestion des utilisateurs et informations d&rsquo;identification<br />Gestion des accès</p>"
"163";"Formation Amazon Web Services (AWS) – Fondamentaux techniques";"130163";"2";"Base de données AWS";"<p>Amazon Dynamo BD : base de données non relationnelle adaptée pour les applications<br />Amazon RDS : configurez, gérez et dimensionnez facilement une base de données relationnelle</p>"
"163";"Formation Amazon Web Services (AWS) – Fondamentaux techniques";"130164";"3";"Outils de gestion AWS";"<p>Auto scaling<br />Elastic Load Balancing<br />Amazon Cloud watch<br />Amazon Trusted Advisor</p>"
"164";"Formation SASS ";"129183";"0";"Présentation";"<p>Qu’est ce qu’un préprocesseur CSS ?<br>Pourquoi SASS ?<br>Pourquoi le développement de vos feuilles de style va être révolutionné ?<br>Historique de SASS</p>"
"164";"Formation SASS ";"129184";"1";"Frameworks pour SASS";"<p>Pourquoi des frameworks ?<br />Découverte des différents frameworks (Bourbon, Compass)<br />Focus sur Bourbon</p>"
"164";"Formation SASS ";"129185";"2";"Les Mixins";"<p>Qu&rsquo;est ce qu&rsquo;une mixin et son utilité<br />Syntaxe d&rsquo;une mixin<br />Paramètres et valeur par défaut dans une mixin</p>"
"164";"Formation SASS ";"129186";"3";"Notions indispensables";"<p>Variables<br />Syntaxe imbriquée</p>"
"164";"Formation SASS ";"129187";"4";"Gulp";"Découverte de Gulp et son utilité avec SASS<div>Installation de Gulp</div><div>Configuration de Gulp</div>"
"164";"Formation SASS ";"129188";"5";"Aller plus loin";"Arborescence / Fichiers éclatés<div>L’extension de classes</div><div>Les conditions</div><div>Les boucles</div>"
"165";"Formation intégration continue pour les applications Python ";"130755";"0";"Introduction";"<p>Les outils<br />Les tests<br />Cycle en V<br />Méthodes Agiles<br />Le Software craftsmanship<br />Le métier de DevOps</p>"
"165";"Formation intégration continue pour les applications Python ";"130756";"1";"La mise en place de métriques";"<p>La génération de rapports<br />Les outils d’analyse et de reporting (Sonar, PMD, Findbugs, Cobertura, Emma, Checkstyle…).<br />La publication des résultats</p>"
"165";"Formation intégration continue pour les applications Python ";"130757";"2";"Le serveur d’intégration continue";"<p>Le rôle du serveur d’intégration continue<br />Les grandes fonctionnalités<br />Les serveurs d’intégration continue (Hudson/Jenkins, CruiseControle, Bamboo…)</p>"
"165";"Formation intégration continue pour les applications Python ";"130758";"3";"L’automatisation des tests";"<p>Les différents types de tests (tests unitaires, tests d’intégration, tests d’acceptation, tests de performance )<br />Les environnements de tests<br />Présentation de quelques outils de test<br />•	Tests unitaires (pytest, …)<br />•	Tests de charge (Gatling, JMeter, …)<br />•	Test end2end (Selenium, …)<br />La mise en oeuvre de l’automatisation des tests</p>"
"165";"Formation intégration continue pour les applications Python ";"130759";"4";"Automatiser le déploiement du projet";"<p>Bonnes pratiques du déploiement<br />Intégration et déploiement continus</p>"
"165";"Formation intégration continue pour les applications Python ";"130760";"5";"Automatiser les builds";"<p>Séparer les scripts de compilation à partir de votre IDE<br />•	Créer une structure cohérente Directory<br />•	Construire pour tout environnement<br />•	Types, mécanismes de constructions et déclenchement des Builds<br />Les outils de Build (Gradle, Maven, Ant…).</p>"
"165";"Formation intégration continue pour les applications Python ";"130761";"6";"L’automatisation de la construction du logiciel (Build)";"<p>Comprendre le build (privé, build d’intégration de jour/nuit)<br />Différents types de builds</p>"
"165";"Formation intégration continue pour les applications Python ";"130762";"7";"Le gestionnaire de contrôle de version ";"<p>Présentation de Git et Subversion<br />Les fonctionnalités<br />Le travail collaboratif<br />Les différents gestionnaires de sources<br />Versionning et migration de base de données (Flyway, Liquibase, etc)<br />Les freins à l’intégration continue</p>"
"165";"Formation intégration continue pour les applications Python ";"130763";"8";"Réduire les risques grâce à l’intégration continue";"<p>Risque: Logiciel de faible qualité<br />•	Scénario: Incapacité à Visualiser Software<br />•	Scénario: Avez-vous obtenu la note ?<br />Risque: manque de visibilité du projet<br />•	Scénario: couverture de test<br />•	Scénario: tests de régression<br />Risque : découverte tardive des bugs<br />•	Scénario : synchronisation des bases de données<br />•	Scénario : ça fonctionne sur ma machine<br />Risque : absence du déploiement<br />•	Scénario: la norme de codage<br />•	Scénario: le respect de l’architecture<br />•	Scénario: la duplication du code</p>"
"165";"Formation intégration continue pour les applications Python ";"130764";"9";"L’intégration continue";"Définition, principes<br>Notion de génie logiciel<br>Bonnes pratiques<br>La chaîne de fabrication logicielle<br>L’intégration continue en trois étapes<br>Les freins à l’intégration continue"
"165";"Formation intégration continue pour les applications Python ";"130765";"10";"Conclusion";"Avantages de l’intégration continue<br>Evolution de l’intégration continue<br>Difficultés de mise en place et interrogation"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133206";"0";"Présentation d’ ELK / Elastic Stack";"<p>L’architecture ELK<br>Installation<br>Configuration</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133207";"1";"Pourquoi utiliser Elasticsearch ?";"<p>Présentation des bases de données SQL et NoSQL<br>Comparaison et performances des bases de données<br>Recherche et indexation dans les bases de données</p><p>Cas d’usage d’Elasticsearch en entreprise</p><p>Architecture en entreprise</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133208";"2";"ElasticSearch et l'indexation";"<p>Gestion des index<br />•	Création<br />•	Suppression<br />•	Configuration<br />Les types de champs<br />Méta-données<br />Les analyseurs</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133209";"3";"La recherche avec ElasticSearch";"<p>La recherche avec l’API de Lucene<br />Gestion de la pondération<br />Les filtres<br />Agrégation<br />Recherche géographique<br />Optimisations pour une meilleur gestion du système lors des recherches</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133210";"4";"Fonctionnement d’Elasticsearch";"<p>Le moteur Lucene<br />Gestion des données et fonctionnement interne<br />Concepts de base : Index, Document, Cluster, Noeud, Réplique<br />Principes de l&rsquo;API Rest</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133211";"5";"Logstash";"<p>Données entrantes et sortantes<br />Les filtres<br />Ajouter des plugins</p>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133212";"6";"Kibana";"Fonctionnement de Kibana<div>Requête avec Kibana</div><div>Visualisations prédéfinies</div><div>Créer ses propres visualisations</div>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133213";"7";"Architecture à haute disponibilité et haute performance";"Scalabilité et clustering<div>– Cluster Elasticsearch</div><div>– Instances logstash</div><div>– Kibana : Distribution des requêtes</div>"
"166";"Formation Elasticsearch Logstash et Kibana (ELK – Elastic Stack)";"133214";"8";"Travaux pratiques";"Installation de l’ensemble des produits ELK et configuration pour un fonctionnement de tests<div>Recherches complexes avec Elasticsearch en utilisant l’API</div><div>Configuration de Logstash : Traitements de log, Syslog, …</div><div>Création d’une visualisation des données avec Kibana</div>"
"167";"Formation Workshop Windows Server 2022/2025";"132256";"0";"Comment installer Windows Server 2022/2025";"Panorama des nouveautés Les éditions et version de Windows Server 2022/2025"
"167";"Formation Workshop Windows Server 2022/2025";"132257";"1";"Administration locale et distante";"Introduction à Windows Admin Center<br>Préparation et installation de Windows Admin Center<br>Configurer Windows Admin Center<br>Utilisation de Windows Admin Center"
"168";"Formation SharePoint 2016 End User level II";"81972";"0";"Overview";"<p>A simple introduction module.<br />After completing this module, students will be able to :<br />Understand your course, classroom, classmates, facility and instructor.</p>"
"168";"Formation SharePoint 2016 End User level II";"81976";"1";"Server Site Definitions";"<p>SharePoint Server Site Definitions<br />Business Intelligence Center<br />Publishing<br />SharePoint eDiscovery/Education<br />Lab : Server Site Definitions<br />Lab : Managed Navigation<br />Lab : Cross Site Publishing<br />Lab : Image Renditions<br />Lab : Embedded Code<br />Lab : SharePoint eDiscovery<br />Lab : SharePoint Education<br />Lab : Content Type Hub</p>"
"168";"Formation SharePoint 2016 End User level II";"81971";"2";"Search";"<p>Search Center Introduction<br />Customizing Search Center<br />Lab : Search Administration<br />Lab : Creating Refiners<br />Lab : Content Query Web Part</p>"
"168";"Formation SharePoint 2016 End User level II";"81975";"3";"Workflows";"<p>Workflows in SharePoint 2016<br />Lab : Built In Activities<br />Lab : Reusable Workflows<br />Lab : Modify OOB Workflow<br />Lab : Looping Workflow<br />Lab : Creating Simple 2016 Workflows<br />Lab : Creating Visio-based Workflows<br />Lab : Out Of Box Workflows</p>"
"168";"Formation SharePoint 2016 End User level II";"81974";"4";"Site Administration";"<p>Basic Site Administration<br />Lab : Site Administration<br />Lab : Galleries<br />Lab : Advanced Site Administration</p>"
"168";"Formation SharePoint 2016 End User level II";"81970";"5";"Site Customization";"<p>Using Web Parts<br />Site Customization<br />Lab : Foundation Web Parts<br />Lab : New 2016 Web Parts<br />Lab : Filter Web Parts<br />Lab : Page Layouts</p>"
"168";"Formation SharePoint 2016 End User level II";"81973";"6";"Site Collection Administration";"<p>Site Collection Administration<br />Lab : Site Collection Administration<br />Lab : Creating Variations<br />Lab : List Throttling</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129166";"0";"Le gestionnaire d'un site SharePoint";"<p>Son rôle<br />Les limites de son action<br />Les différents niveaux d&rsquo;administration<br />Les différentes interfaces d&rsquo;administration<br />L&rsquo;importance de la sécurité d&rsquo;accès</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129164";"1";"Gestion des sites";"<p>Naviguer dans un site<br />Paramétrer les outils de navigation<br />L&rsquo;architecture des sites<br />Collection de sites<br />Les outils d&rsquo;administration de sites, de collections<br />Créer des sites et des modèles de sites<br />Modifier les paramètres d&rsquo;un site<br />Méthodologie de création de sites<br />Modèle de sites<br />Navigation gérée ou structurelle<br />Modifier les liaisons<br />Apparence<br />Rapports d&rsquo;utilisation<br />Présentation du gestionnaire de conception</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129163";"2";"Gestion des listes et des bibliothèques de documents";"<p>Créer des listes et des bibliothèques de documents<br />Importer des documents ou éléments en masse<br />Paramétrer des listes et des bibliothèques<br />Créer des affichages personnalisés<br />Utiliser le mode feuille de données<br />Filtre et tri<br />Configurer les alertes<br />Utiliser le RSS<br />Configurer une bibliothèque destinataire de mails<br />Créer des modèles de listes et bibliothèques<br />Modifier les paramètres des listes et bibliothèques<br />Modifier le modèle de document utilisé dans une bibliothèque<br />Les « Documents Set »</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129162";"3";"Les pages et les applications";"<p>Page d&rsquo;accueil<br />Créer et modifier des pages<br />Bibliothèque<br />Pages du site<br />Gestion des paragraphes<br />Utilisation des styles<br />Gestion des tableaux<br />Utilisation des bibliothèques de collection de sites<br />Pages Wiki / Pages WebPart<br />Catalogue des applications<br />Ajout d&rsquo;applications<br />Customisation des applications et des pages de WebParts</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129161";"4";"Gestion de ma sécurité";"<p>Les utilisateurs : ajout, suppression, groupes d&rsquo;utilisateurs<br />Rôles et autorisations<br />Accès à l&rsquo;annuaire de l&rsquo;entreprise<br />Création d&rsquo;un groupe de site<br />Mise en place de la sécurité sur un site, sur un composant ou sur un document<br />Notion d&rsquo;héritage</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129160";"5";"Type de contenu";"<p>L&rsquo;architecture des types de contenu<br />Créer et gérer des colonnes de site<br />Gérer les métadonnées avec les types de contenus</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129159";"6";"Synchronisation de documents";"<p>Utiliser OneDrive Enterprise<br />Se connecter à un espace de travail pour l&rsquo;utiliser en mode déconnecté<br />Modifier les paramètres de connexion<br />Gérer les alertes<br />Gérer la synchronisation<br />Les indicateurs de lecture / non lecture<br />Envoyer le compte à un autre ordinateur<br />Accès via un produit du pack Office</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129158";"7";"Les workflows dans SharePoint";"<p>Présentation et cycle de vie d’un workflow dans SharePoint&nbsp;<br>Les workflows standards<br>Création de workflows avec Visio et SharePoint Designer&nbsp;</p>"
"169";"Formation SharePoint Conception et gestion de site ";"129165";"8";"Intégration de données externes dans SharePoint";"<p>Présentation des BCS<br />Les types de contenu externe<br />Utilisation dans SharePoint Designer<br />Limitation des listes externes au sein de SharePoint (ex : pas de versionning)<br />Présentation d&rsquo;InfoPath Form Services, Visio Services, Access Services</p>"
"170";"Formation SharePoint Online Développement de sites";"81990";"0";"Bonnes pratiques du développement";"<p>Création d’Add-in SharePoint<br />Environnement de dev avec nodejs</p>"
"170";"Formation SharePoint Online Développement de sites";"81991";"1";"Les appels externes avec SharePoint";"<p>Appel vers des API externe<br />Utilisation</p>"
"170";"Formation SharePoint Online Développement de sites";"81992";"2";"Rappels sur SharePoint";"<p>Architecture de SharePoint<br />Composants les plus utiles</p>"
"170";"Formation SharePoint Online Développement de sites";"81993";"3";"Personnalisation de site";"<p>Modification de master page<br />Modification CSS<br />Intégration de JS</p>"
"170";"Formation SharePoint Online Développement de sites";"81995";"4";"Prévoir la suite avec le SPFx";"<p>Présentation du SPFx<br />Implémentation d’un composant avec le SPFx</p>"
"170";"Formation SharePoint Online Développement de sites";"81994";"5";"Développement de composant Web Part en JS";"<p>Premier composant<br />Communiquer avec SharePoint</p>"
"171";"Formation Administration de SharePoint Online";"128342";"0";"Présentation générale de l’administration de SharePoint";"Décrire les principaux composants de SharePoint Online<div>Naviguer dans les centres d’administration de Office 365 et de SharePoint</div><div>Comprendre la gestion des identités</div><div>Comprendre comment gérer l’environnement dans PowerShell</div><div>Comprendre les scénarios hybrides</div><div><br></div>"
"171";"Formation Administration de SharePoint Online";"128343";"1";"Gestion des profils utilisateurs";"Comprendre le service de profil dans SharePoint Online<div>Créer une propriété personnalisée associée à un terme de métadonnées</div><div>Définir les politiques de profil et le contrôle de sécurité</div><div>Créer et gérer des audiences</div><div>Définir la gestion de mes sites lorsqu’un utilisateur supprime son site</div><div><br></div>"
"171";"Formation Administration de SharePoint Online";"128344";"2";"Gestion du store";"Configuration des paramètres pour le SharePoint Store"
"171";"Formation Administration de SharePoint Online";"128345";"3";"Gestion du partage externe";"Gérer le partage dans SharePoint et OneDrive"
"171";"Formation Administration de SharePoint Online";"128346";"4";"Gestion des licences";"Présentation de VLSC"
"171";"Formation Administration de SharePoint Online";"128347";"5";"Gestion des collections de sites et de leur structure";"Comprendre les collections de sites<div>Gérer et déléguer des collections de sites</div><div>Configurer le partage externe</div><div>Supprimer et restaurer des collections de sites</div><div>Gérer les collections de sites avec PowerShell</div><div><br></div>"
"171";"Formation Administration de SharePoint Online";"128348";"6";"Gestion des contenus dans SharePoint";"Exploiter les listes pour collaborer sur des données<div>Exploiter les bibliothèques pour collaborer sur des document</div><div>Gestion des colonnes de site</div><div>Gestion des types de contenus</div><div>Gestion des affichages</div><div><br></div>"
"172";"Cursus Administrateur SharePoint 2016";"81996";"0";"Planification et Administration de Sharepoint 2016";"<p>Maîtriser les principales caractéristiques de la solution<br />Etre en mesure d’installer, configurer, maintenir et dépanner un environnement SharePoint 2016</p>"
"172";"Cursus Administrateur SharePoint 2016";"81997";"1";"Mettre en œuvre les fonctionnalités avancées de Microsoft Sharepoint 2016";"<p>Disposer des connaissances et compétences nécessaires pour mettre en œuvre<br />Gérer les fonctionnalités avancées de SharePoint 2016 et exploiter ainsi toutes les possibilités offertes par la solution</p>"
"172";"Cursus Administrateur SharePoint 2016";"81998";"2";"Validation : Test 70-339";"<p>Managing Microsoft SharePoint Server 2016 : atteste des aptitudes à concevoir<br />Mettre en œuvre et gérer un environnement SharePoint 2016<br />Exploiter les fonctionnalités avancées de la solution</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82019";"0";"Vue d'ensemble de la messagerie unifiée d'Exchange Server 2013";"<p>Concept de base de la messagerie unifiée dans Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82018";"1";"Conception et implémentation de la messagerie unifiée d'Exchange Server 2013";"<p>Concevoir et mettre en œuvre la messagerie unifiée Exchange Server 2013.</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82017";"2";"Conception et implémentation de la résilience de site";"<p>Concevoir et mettre en œuvre la résilience de site pour Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82016";"3";"Planification de la virtualisation pour Exchange Server 2013";"<p>Planifier une stratégie de virtualisation pour les rôles Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82015";"4";"Gérer la sécurité des transports de messages";"<p>Concevoir et mettre en œuvre la sécurité de transport des messages</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82014";"5";"Conception et implémentation de la rétention de message";"<p>Concevoir et implémenter la rétention du message dans Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82013";"6";"Implémenter la conformité de messagerie";"<p>Concevoir et mettre en œuvre la conformité de messagerie</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82012";"7";"Conception et implémentation de la sécurité et de l'audit";"<p>Concevoir et implémenter la sécurité dans un environnement Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82011";"8";"Gestion d'Exchange Server 2013 avec Exchange Management Shell";"<p>Utiliser Windows PowerShell 3.0 pour gérer Exchange Server 2013</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82010";"9";"Conception et mise en œuvre de l'intégration avec Exchange Online";"<p>Concevoir et implémenter l&rsquo;intégration avec Exchange Online</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82020";"10";"Mettre en œuvre de la coexistence de messagerie";"<p>Concevoir et mettre en œuvre la coexistence de messagerie</p>"
"173";"Formation Microsoft 20342 – Exchange Server 2013 Fonctionnalités avancées";"82021";"11";"Conception et mise en œuvre des migrations et mises à jour de Exchange Server";"<p>Concevoir et mettre en œuvre des migrations Exchange Server depuis des systèmes de messagerie non-Exchange<br />Mises à niveau depuis les versions précédentes d&rsquo;Exchange Server</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"81999";"0";"Déploiement et gestion d'Exchange Server 2013";"<p>Planifier et effectuer le déploiement et la gestion de Exchange Server 2013</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82000";"1";"Planification et configuration de serveurs de messagerie";"<p>Planifier un déploiement de serveur de boîtes aux lettres et configurer le rôle serveur de boîtes aux lettres</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82008";"2";"Gestion des objets de destinataire";"<p>Créer et gérer les différents objets de destinataire dans Exchange Server 2013.</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82007";"3";"Planification et déploiement de serveurs d'accès client";"<p>Planifier et déployer des serveurs d&rsquo;accès client</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82006";"4";"Planification et configuration de la connectivité des clients de messagerie";"<p>Planifier et configurer la connectivité du client au serveur d&rsquo;accès client Exchange Server 2013.</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82005";"5";"Planification et configuration de transport des messages";"<p>Planifier et configurer le transport des messages.</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82004";"6";"Planification et mise en œuvre de la haute disponibilité";"<p>Planifier et implémenter la haute disponibilité</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82003";"7";"Planification et mise en œuvre de la récupération d'urgence";"<p>Planifier et mettre en oeuvre la récupération d&rsquo;urgence</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82002";"8";"Planification et configuration des options de sécurité des messages";"<p>Planifier et configurer les options de sécurité de message</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82001";"9";"Planification et configuration de la sécurité et de l'audit";"<p>Planifier et configurer la sécurité et l&rsquo;audit de l&rsquo;administration</p>"
"174";"Formation Microsoft 20341 – Exchange Server 2013 Configuration et gestion de l’environnement";"82009";"10";"Surveillance et dépannage d'Exchange Server 2013";"<p>Surveiller et dépanner Exchange Server 2013</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82035";"0";"Introduction à SharePoint 2016";"<p>Composants clés du déploiement de SharePoint<br />Nouvelles fonctionnalités de SharePoint 2016<br />Options de déploiement de SharePoint 2016</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82028";"1";"Conception d'une architecture de l'Information";"<p>Identifier les besoins de l&rsquo;entreprise<br />Comprendre les besoins de l&rsquo;entreprise<br />Organiser les informations dans SharePoint 2016<br />Planifier la découverte d&rsquo;informations</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82029";"2";"Conception d'une architecture logique";"<p>Vue d&rsquo;ensemble de l&rsquo;architecture logique de SharePoint 2016<br />Documenter votre architecture logique</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82030";"3";"Conception d'une architecture physique";"<p>Concevoir les prérequis physiques d&rsquo;un déploiement SharePoint<br />Concevoir les prérequis logiciels pour les composants physiques d&rsquo;un déploiement SharePoint<br />Topologies d&rsquo;une batterie SharePoint<br />Faire correspondre l&rsquo;architecture logique à l&rsquo;architecture physique</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82031";"4";"Installation et configuration de SharePoint Server 2016";"<p>Installer SharePoint 2016<br />Automatiser par scripts l&rsquo;installation et la configuration d&rsquo;un environnement SharePoint 2016<br />Configurer les paramètres d&rsquo;une batterie de serveurs SharePoint 2016</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82032";"5";"Création d'applications web et de collections de sites";"<p>Créer des applications web<br />Configurer les applications web<br />Créer et configurer des collections de site</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82033";"6";"Planification et configuration d'applications de service";"<p>Introduction à l&rsquo;architecture des applications de service<br />Créer et configurer des applications de service</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82025";"7";"Gestion des utilisateurs et autorisations";"<p>Configurer les autorisations dans SharePoint 2016<br />Gérer les accès au contenu</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82022";"8";"Configurer l'authentification pour SharePoint 2016";"<p>Vue d&rsquo;ensemble de l&rsquo;authentification<br />Configurer l&rsquo;authentification fédérée<br />Configurer l&rsquo;authentification serveur à serveur</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82026";"9";"Sécuriser le déploiement de SharePoint 2016";"<p>Sécuriser la plateforme<br />Configurer la sécurité au niveau de la batterie de serveurs</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82024";"10";"Gestion de taxinomie";"<p>Gérer les types de contenu<br />Comprendre les métadonnées gérées<br />Configurer le service de métadonnées gérées</p>"
"175";"Formation Microsoft 20339-1 : SharePoint 2016 Administration";"82023";"11";"Configuration des profils utilisateurs";"<p>Configurer l&rsquo;application de service profil utilisateur<br />Gérer les profils utilisateurs et les audiences</p>"
